ИН_сотрудника,Фамилия,Имя,Отчество,Должность
8,Золотарева,Ирина,Владимировна,Аллерголог
9,Барсукова,Юлия,Кириловна,Логопед
11,Новицкая,Вера,Борисовна,Стоматолог
12,Сергеев,Илья,Никитович,Паразитолог
13,Кокорина,Наталья,Владимировна,Отариноларинголог
14,Кокки,Генадий,Андреевич,Хирург
15,Сергеев,Александр,Антононвич,Офтальмолог
16,Данковский,Даниил,Николаевич,Фельдшер
17,Цветов,Алексей,Борисович,Психотерапевт
18,Шеркова,Марина,Васильевна,Педиатр
19,Яхина,Ксения,Павловна,Анастезиолог
20,Кириченко,Любовь,Геннадиевна,"Медецинская сестра"
21,Водолеева,Анна,Васильевна,"Медецинская сестра"
22,Краснов,Василий,Васильевич,"Технический работник"
23,Яшкин,Иосив,Самсонович,"Дежурный администратор"
24,Илюшина,Элеонора,Григориевна,Директор
